WarNum,WarName,V5RegionNum,WarType,CcodeA,SideA,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TotNatMonWar,TransFrom,Initiator,Outcome,TransTo,DeathsSideA,DeathsSideB,TotalBDeaths,Version
804,Angolan Control War of 1976-1991,4,4,540,Angola,UNITA,1,2,13,1976,5,15,1991,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5493,183.1,482.63,186,UNITA,3,-8,36000,66600,102600,5.1
825,Mozambique War of 1981-1992,4,4,541,Mozambique,RENAMO,1,4,10,1981,10,4,1992,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4135,137.83,514.5,-8,RENAMO,1,-8,-9,-9,20560,5.1
834,Second South Sudan War of 1983-2002,5,4,625,Sudan,SPLA-Garang faction,1,5,17,1983,9,10,1991,3,9,1992,10,15,2002,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6811,227.03,291.73,-8,105th Batallion,3,-8,-9,-9,100000,5.1
850,Fifth Lebanese War of 1989-1990,5,4,660,Lebanon,Lahoud Faction,1,2,14,1989,10,13,1990,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,600,20,34.13,-8,Lebanon,2,-8,-9,-9,2400,5.1
857,First Liberian War of 1989-1990,4,4,450,Liberia,NPFL and INPFL,1,12,24,1989,11,28,1990,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,335,11.17,17.97,-8,NPFL,3,-8,-9,-9,3000,5.1
863,First Sierra Leone War of 1991-1996,4,4,451,Sierra Leone,RUF,1,3,23,1991,4,23,1996,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1831,61.03,120.33,-8,RUF,3,-8,-9,-9,7500,5.1
865.8,Second Somalia War of 1991-1997,4,4,520,Somalia,Pro-Aideed Alliance,1,9,3,1991,12,22,1997,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2270,75.67,171.03,-8,Pro-Aideed Faction,6,-8,-9,-9,32070,5.1
872,Nagorno-Karabakh War of 1991-1993,3,5,373,Azerbaijan,Nagorno-Karabakh,1,12,26,1991,2,5,1993,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,400,13.33,26.67,-8,Nagorno-Karabakh,4,216,4000,3000,7000,5.1
873,Dniestrian Independence War of 1991-1992,3,5,359,Moldova,Dniestria,1,12,26,1991,7,2,1992,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,187,6.23,12.47,-8,Moldova,3,-8,-9,-9,1000,5.1
876,Tajikistan War of 1992-1997,6,4,702,Tajikistan,United Tajik Opposition,1,5,6,1992,6,27,1997,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1852,61.73,113.17,-8,Hezb-e Nahzat-e Islami,3,-8,-9,-9,10000,5.1
