WarNum,WarName,SideA,episode,EndYr,is_last_endyr,TotalBDeaths,gdppc_diff,partipdem_diff,oil_rents,un_pko
817,El Salvador War of 1979-1992,El Salvador,1,1992,TRUE,24000,0.478000000000001,0.056,0,1
826,Tigrean & Eritrean War of 1982-1991,Ethiopia,1,1991,TRUE,235500,-0.132,0.027,0,0
829,Shining Path War of 1982-1992,Peru,1,1992,TRUE,12708,0.379999999999999,0.01,1.2179342533227,0
845.5,Fourth Guatemala of 1987 to 1990,Guatemala,1,1990,TRUE,9000,0.161,-0.001,0.301957368491916,1
846,Inkatha-ANC War of 1987-1994,Inkatha,1,1994,TRUE,13000,NA,NA,NA,0
848,First Somalia War of 1988-1991,Somalia,1,1991,TRUE,25000,0.0680000000000001,0.024,NA,0
851,Second Afghan Civil War of 1989-1992,Afghanistan,1,1992,TRUE,40000,-0.456,-0.001,NA,1
852,Chad - Deby War of 1989-1990,Chad,1,1990,TRUE,3800,0.028,0.027,0,0
853,Punjab Rebellion of 1989-1993,India,1,1993,TRUE,7500,0.212,0.00700000000000001,0.859559953245587,0
854,Second Khmer Rouge War of 1989-1991,Kampuchea,1,1991,TRUE,2100,NA,NA,NA,1
858,First Aceh War of 1990-1991,Indonesia,1,1991,TRUE,1500,0.531000000000001,0,5.59365035937227,0
859,Second Sri Lanka Tamil War of 1990-2001,Sri Lanka,1,1994,FALSE,70000,0.469999999999999,0.037,0,0
859,Second Sri Lanka Tamil War of 1990-2001,Sri Lanka,2,2001,TRUE,70000,0.316999999999998,0.019,0,0
860,Bougainville Secessionist War of 1990-1991,Papua New Guinea,1,1991,FALSE,1000,0.456,-0.005,0.00296488998149099,0
860,Bougainville Secessionist War of 1990-1991,Papua New Guinea,2,1991,TRUE,1000,0.456,-0.005,0.00296488998149099,0
862,Iraqi Shiite Rebellion of 1991,Iraq,1,1991,TRUE,1000,-0.469,0,NA,0
862.1,Sixth Iraqi Kurds War of 1991,Iraq,1,1991,TRUE,4000,-0.469,0,NA,0
864,Croatian Independence War of 1991-1992,Yugoslavia,1,1992,TRUE,3000,NA,NA,NA,1
865,Turkey-PKK War of 1991-1999,Turkey,1,1999,TRUE,28057,NA,NA,NA,0
866,SPLM/A Division (Dinka-Nuer) War of 1991-1992,SPLA-Garang,1,1992,TRUE,1200,NA,NA,NA,0
868,Jukun - Tiv War of 1991-1992,Jukun,1,1992,TRUE,1000,NA,NA,NA,0
871,Georgia War of 1991-1993,Georgia,1,1993,TRUE,5000,-1.056,0.003,0.339872444302076,1
874,Kashmir Insurgency of 1992-2005,India,1,2005,TRUE,23476,0.542,-0.005,1.28780837185882,1
874.5,First Somaliland War of 1992,Tur Loyalists,1,1992,TRUE,1300,NA,NA,NA,1
875,Algeria's Islamic Front War of 1992-2002,Algeria,1,2002,TRUE,25200,1.046,0.001,17.703706765696,0
877.5,Afghanistan Post-Communist War of 1992-2001,Afghanistan,1,2001,TRUE,40000,0.33,0.071,NA,0
880,Angolan War of the Cities of 1992-1994,Angola,1,1994,TRUE,50000,0.109,0,40.5755094827092,1
881,Third Khmer Rouge War of 1993-1998,Cambodia,1,1998,TRUE,10000,0.195,-0.00700000000000001,0,1
882,Masisi War of 1993,Banyarwanda Militia,1,1993,TRUE,3500,NA,NA,NA,0
883,Second Burundi War of 1993-1998,Burundi,1,1998,TRUE,5000,-0.0459999999999998,-0.001,0,0
885,South Yemeni Secessionist Revolt of 1994,Yemen,1,1994,TRUE,3000,0.121,-0.00599999999999999,NA,0
886,Second Rwanda War of 1994,Rwanda,1,1994,TRUE,1000,0.13,0.033,0,1
