WarNum,WarName,V5RegionNum,WarType,CcodeA,SideA,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TotNatMonWar,TransFrom,Initiator,Outcome,TransTo,DeathsSideA,DeathsSideB,TotalBDeaths,Version
817,El Salvador War of 1979-1992,1,4,92,El Salvador,Salvadorian Democratic Front,0,10,15,1979,2,1,1992,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4427,147.57,147.57,-8,SDF,3,-8,10000,14000,24000,5.1
826,Tigrean & Eritrean War of 1982-1991,4,5,530,Ethiopia,TPLF & EPLF,0,1,23,1982,5,28,1991,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3366,112.2,112.2,-8,TPLF & EPLF,2,-8,153500,80000,235500,5.1
829,Shining Path War of 1982-1992,2,4,135,Peru,Shining Path,0,11,28,1982,9,12,1992,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3525,117.5,117.5,-8,Shining Path,1,-8,2242,10466,12708,5.1
845.5,Fourth Guatemala of 1987 to 1990,1,4,90,Guatemala,Leftists,0,9,-9,1987,9,-9,1990,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1081,36.03,36.03,-8,Guatemala,1,-8,3000,6000,9000,5.1
846,Inkatha-ANC War of 1987-1994,4,7,-8,Inkatha,ANC,0,12,20,1987,4,26,1994,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2287,76.23,76.23,-8,Inkatha,6,-8,-9,-9,13000,5.1
848,First Somalia War of 1988-1991,4,4,520,Somalia,SNM,0,5,26,1988,1,26,1991,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,961,32.03,32.03,-8,SNM,2,-8,-9,-9,25000,5.1
851,Second Afghan Civil War of 1989-1992,6,4,700,Afghanistan,Mujahideen,0,2,16,1989,4,15,1992,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1140,38,38,476,Mujahideen,2,-8,-9,-9,40000,5.1
852,Chad - Deby War of 1989-1990,4,4,483,Chad,April 1 Movement,0,4,1,1989,12,2,1990,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,602,20.07,20.07,-8,April 1 Movement,2,-8,3000,800,3800,5.1
853,Punjab Rebellion of 1989-1993,6,5,750,India,Sikh Guerillas,0,7,1,1989,6,30,1993,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1440,48,48,-8,Sikh Guerrillas,1,-8,1500,6000,7500,5.1
854,Second Khmer Rouge War of 1989-1991,6,4,811,Kampuchea,Khmer Rouge & KPNFL,0,9,26,1989,10,23,1991,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,748,24.93,24.93,475,Khmer Rouge & KPNFL,3,-8,-9,-9,2100,5.1
858,First Aceh War of 1990-1991,6,5,850,Indonesia,GAM,0,4,-9,1990,7,-9,1991,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,451,15.03,15.03,-8,GAM,7,-8,-9,-9,1500,5.1
859,Second Sri Lanka Tamil War of 1990-2001,6,5,780,Sri Lanka,LTTE,0,6,11,1990,10,13,1994,4,19,1995,12,24,2001,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3969,132.3,132.33,-8,LTTE,3,-8,-9,-9,70000,5.1
860,Bougainville Secessionist War of 1990-1991,6,5,910,Papua New Guinea,BRA,0,9,22,1990,1,24,1991,6,-9,1991,12,-9,1991,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,304,10.13,10.13,-8,Papua New Guinea,7,-8,-9,-9,1000,5.1
